Master Doküman Listesi;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Doküman Kodu;Doküman Adý;;Doküman Ýngilizce Adý;Tipi;Hazýrlama Tarihi;"Revizyon
No";"Revizyon
Tarihi";Revize Eden;Sorumlu Kýsým;Revizyon Nedeni;Revizyon;Son Gözden Geçirme Tarihi;Gelecek Gözden Geçirme Tarihi;Gözden Geçirme Periyodu ;Onay Tarihi;Kullanýldýðý Süreçler;Doküman Sorumlusu;Arþivleme Süresi
BC.GR.01;BÝLÝMSEL ÇALIÞMALAR KIDEMLÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;02.09.2024;0;02.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;04.09.2024;04.09.2025;12;04.09.2024;;Hatice Bardakçý;60
BC.GR.02;Bilimsel Çalýþmalar Müdür Yardýmcýsý Görev Tanýmý;;;Görev Tanýmý;28.05.2019;4;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BC.GR.03;BÝLÝMSEL ÇALIÞMALAR UZMAN YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;28.05.2019;3;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BC.GR.04;BÝLÝMSEL ÇALIÞMALAR UZMANI GÖREV TANIMI;;;Görev Tanýmý;28.05.2019;4;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BC.GR.05;BÝLÝMSEL ÇALIÞMALAR MÜDÜRÜ GÖREV TANIMI;;;Görev Tanýmý;28.05.2019;4;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BC.PR.03;Bilimsel Çalýþmalar Ýþleyiþ Prosedürü;;;Prosedür;12.04.2019;4;22.08.2024;Nesrin Özkan;Direktörlükler;Yönetim Kurulu kararý ile revize edilen yönetmelikler nezdinde Bilimsel Çalýþmalar Ýþleyiþ Prosedürü revize edilmiþtir.;"Doküman genel olarak revize edildi.	";05.09.2024;05.03.2025;6;05.09.2024;;Hakan Çetin;0
BC.YN.01;Bilim Kurulu Yönetmeliði;;;Yönetmelik;04.04.2014;4;26.06.2024;Ýrem Yalçýnkaya;Direktörlükler;4. maddenin a,b,c,e,f,i ve l bendleri, 6 Maddenin d ve f bendleri, ve 7. Maddenin d ve f bendleri revize edilmiþtir. 7. Maddenin e bendi iptal edildi.;;22.08.2024;22.02.2025;6;22.08.2024;;Hakan Çetin;0
BC.YN.02;Yüksek Lisans ve Doktora Araþtýrma Burs Yönetmeliði;;;Yönetmelik;14.03.2014;5;22.03.2022;Þebnem Þenol;Bilimsel Çalýþmalar;14 A ve 14 B maddeleri revize edildi.;;03.06.2024;03.12.2024;6;22.03.2022;;;0
BC.YN.03;Addicta Yayýn Yönetmeliði;;;Yönetmelik;05.04.2019;1;26.02.2021;Nesrin Özkan;Bilimsel Çalýþmalar;Doküman genel olarak revize edildi.;;03.06.2024;03.12.2024;6;23.06.2021;;;0
BC.YN.04;ULUSLARARASI YÜKSEK LÝSANS VE DOKTORA ARAÞTIRMA BURSU YÖNETMELÝÐÝ;;;Doküman;28.03.2023;0;28.03.2023;Ýrem Yalçýnkaya;Bilimsel Çalýþmalar;Yeni Doküman;;03.06.2024;03.12.2024;6;28.03.2023;;;0
